Ops,Reseller,Rate,Destination,App,Connect,Duration,Conn In,Duration In
2,0,grn_premium,4673462,audio,0,893,,
2,0,grn_premium,4673463,audio,0,893,,
2,0,grn_premium,4673464,audio,0,893,,
2,0,grn_premium,4673468,audio,0,893,,
2,0,grn_premium,4673467,audio,0,893,,
2,0,grn_premium,4673465,audio,0,893,,
2,0,grn_premium,46701924,audio,0,893,,
2,0,grn_premium,467638,audio,0,893,,
2,0,grn_premium,467630,audio,0,893,,
2,0,grn_premium,46734603,audio,0,893,,
2,0,grn_premium,46734609,audio,0,893,,
2,0,grn_premium,467606,audio,0,893,,
2,0,grn_premium,46734608,audio,0,893,,
2,0,grn_premium,467639,audio,0,893,,
2,0,grn_premium,467633,audio,0,893,,
2,0,grn_premium,467603,audio,0,893,,
2,0,grn_premium,467600,audio,0,893,,
2,0,grn_premium,467634,audio,0,893,,
2,0,grn_premium,467604,audio,0,893,,
2,0,grn_premium,467631,audio,0,893,,
2,0,grn_premium,467602,audio,0,893,,
2,0,grn_premium,46701921,audio,0,893,,
2,0,grn_premium,46701929,audio,0,893,,
2,0,grn_premium,46701928,audio,0,893,,
2,0,grn_premium,4676668,audio,0,893,,
2,0,grn_premium,46756008,audio,0,893,,
2,0,grn_premium,46756009,audio,0,893,,
2,0,grn_premium,46756007,audio,0,893,,
2,0,grn_premium,4676673,audio,0,893,,
2,0,grn_premium,46731212,audio,0,893,,
2,0,grn_premium,4676672,audio,0,893,,
2,0,grn_premium,467190000,audio,0,893,,
2,0,grn_premium,4676670,audio,0,893,,
2,0,grn_premium,4676671,audio,0,893,,
2,0,grn_premium,4676674,audio,0,893,,
2,0,grn_premium,46731211,audio,0,893,,
2,0,grn_premium,4676669,audio,0,893,,
2,0,grn_premium,467348,audio,0,893,,
2,0,grn_premium,46701923,audio,0,893,,
2,0,grn_premium,46701927,audio,0,893,,
2,0,grn_premium,46756002,audio,0,893,,
2,0,grn_premium,46701926,audio,0,893,,
2,0,grn_premium,467349,audio,0,893,,
2,0,grn_premium,46756001,audio,0,893,,
2,0,grn_premium,46701925,audio,0,893,,
2,0,grn_premium,46756003,audio,0,893,,
2,0,grn_premium,46756004,audio,0,893,,
2,0,grn_premium,46756005,audio,0,893,,
2,0,grn_premium,46756006,audio,0,893,,
2,0,grn_premium,46701922,audio,0,893,,
2,0,grn_premium,4673466,audio,0,893,,
2,0,grn_premium,46734606,audio,0,893,,
2,0,grn_premium,467662,audio,0,893,,
2,0,grn_premium,4673475,audio,0,893,,
2,0,grn_premium,467344,audio,0,893,,
2,0,grn_premium,467341,audio,0,893,,
2,0,grn_premium,467342,audio,0,893,,
2,0,grn_premium,467326,audio,0,893,,
2,0,grn_premium,4673458,audio,0,893,,
2,0,grn_premium,467340,audio,0,893,,
2,0,grn_premium,467323,audio,0,893,,
2,0,grn_premium,467343,audio,0,893,,
2,0,grn_premium,467324,audio,0,893,,
2,0,grn_premium,46709,audio,0,893,,
2,0,grn_premium,467386,audio,0,893,,
2,0,grn_premium,467660,audio,0,893,,
2,0,grn_premium,467601,audio,0,893,,
2,0,grn_premium,467637,audio,0,893,,
2,0,grn_premium,467636,audio,0,893,,
2,0,grn_premium,467635,audio,0,893,,
2,0,grn_premium,467011,audio,0,893,,
2,0,grn_premium,467014,audio,0,893,,
2,0,grn_premium,467661,audio,0,893,,
2,0,grn_premium,467687,audio,0,893,,
2,0,grn_premium,467388,audio,0,893,,
2,0,grn_premium,46733,audio,0,893,,
2,0,grn_premium,467315,audio,0,893,,
2,0,grn_premium,4670198,audio,0,893,,
2,0,grn_premium,467216,audio,0,893,,
2,0,grn_premium,46734607,audio,0,893,,
2,0,grn_premium,46734604,audio,0,893,,
2,0,grn_premium,4673457,audio,0,893,,
2,0,grn_premium,467314,audio,0,893,,
2,0,grn_premium,467219,audio,0,893,,
2,0,grn_premium,46734602,audio,0,893,,
2,0,grn_premium,467328,audio,0,893,,
2,0,grn_premium,467218,audio,0,893,,
2,0,grn_premium,467325,audio,0,893,,
2,0,grn_premium,467605,audio,0,893,,
2,0,grn_premium,4670199,audio,0,893,,
2,0,grn_premium,467310,audio,0,893,,
2,0,grn_premium,467608,audio,0,893,,
2,0,grn_premium,467663,audio,0,893,,
2,0,grn_premium,467609,audio,0,893,,
2,0,grn_premium,46708,audio,0,893,,
2,0,grn_premium,467385,audio,0,893,,
2,0,grn_premium,467607,audio,0,893,,
2,0,grn_premium,467320,audio,0,893,,
2,0,grn_premium,467686,audio,0,893,,
2,0,grn_premium,3712727,audio,0,8911,,
2,0,grn_premium,678,audio,0,8911,,
2,0,grn_premium,3712584,audio,0,8911,,
2,0,grn_premium,3712583,audio,0,8911,,
2,0,grn_premium,3712581,audio,0,8911,,
2,0,grn_premium,3712589,audio,0,8911,,
2,0,grn_premium,3712580,audio,0,8911,,
2,0,grn_premium,3712582,audio,0,8911,,
2,0,grn_premium,371222,audio,0,8911,,
2,0,grn_premium,881990,audio,0,8911,,
2,0,grn_premium,881890,audio,0,8911,,
2,0,grn_premium,87139,audio,0,87734,,
2,0,grn_premium,87239,audio,0,87734,,
2,0,grn_premium,87339,audio,0,87734,,
2,0,grn_premium,87439,audio,0,87734,,
2,0,grn_premium,248,audio,0,877,,
2,0,grn_premium,52433,audio,0,871,,
2,0,grn_premium,52372,audio,0,871,,
2,0,grn_premium,52894,audio,0,871,,
2,0,grn_premium,52424,audio,0,871,,
2,0,grn_premium,52731,audio,0,871,,
2,0,grn_premium,52953,audio,0,871,,
2,0,grn_premium,52283,audio,0,871,,
2,0,grn_premium,52457,audio,0,871,,
2,0,grn_premium,52738,audio,0,871,,
2,0,grn_premium,52355,audio,0,871,,
2,0,grn_premium,52328,audio,0,871,,
2,0,grn_premium,52375,audio,0,871,,
2,0,grn_premium,52342,audio,0,871,,
2,0,grn_premium,523777,audio,0,871,,
2,0,grn_premium,52387,audio,0,871,,
2,0,grn_premium,52359,audio,0,871,,
2,0,grn_premium,52432,audio,0,871,,
2,0,grn_premium,52797,audio,0,871,,
2,0,grn_premium,5234671,audio,0,871,,
2,0,grn_premium,52200,audio,0,871,,
2,0,grn_premium,37165159,audio,0,8708,,
2,0,grn_premium,37165153,audio,0,8708,,
2,0,grn_premium,3718501,audio,0,8708,,
2,0,grn_premium,37165158,audio,0,8708,,
2,0,grn_premium,371810,audio,0,8708,,
2,0,grn_premium,37168501,audio,0,8708,,
2,0,grn_premium,37168502,audio,0,8708,,
2,0,grn_premium,3712769,audio,0,8708,,
2,0,grn_premium,3712010,audio,0,8708,,
2,0,grn_premium,3712840,audio,0,8708,,
2,0,grn_premium,3718502,audio,0,8708,,
2,0,grn_premium,35870,audio,0,852,,
2,0,grn_premium,35875,audio,0,852,,
2,0,grn_premium,35876,audio,0,852,,
2,0,grn_premium,35860,audio,0,852,,
2,0,grn_premium,35820,audio,0,852,,
2,0,grn_premium,35830,audio,0,852,,
2,0,grn_premium,35829,audio,0,852,,
2,0,grn_premium,35873,audio,0,852,,
2,0,grn_premium,358800,audio,0,852,,
2,0,grn_premium,35810,audio,0,852,,
2,0,grn_premium,37270,audio,0,8518,,
2,0,grn_premium,9609,audio,0,8473,,
2,0,grn_premium,792,audio,0,847,,
2,0,grn_premium,44844,audio,0,844,,
2,0,grn_premium,44843,audio,0,844,,
2,0,grn_premium,87078,audio,0,84188,,
2,0,grn_premium,67389,audio,0,840,,
2,0,grn_premium,3587,audio,0,840,,
2,0,grn_premium,52,audio,0,840,,
2,0,grn_premium,84162,audio,0,840,,
2,0,grn_premium,524543,audio,0,840,,
2,0,grn_premium,84163,audio,0,840,,
2,0,grn_premium,8490,audio,0,840,,
2,0,grn_premium,8491,audio,0,840,,
2,0,grn_premium,8493,audio,0,840,,
2,0,grn_premium,8494,audio,0,840,,
2,0,grn_premium,77182,audio,0,840,,
2,0,grn_premium,57314,audio,0,836,,
